,lCen,"QE primary, All (scale dep)","PSH primary, All (scale dep)","PH primary, All (scale dep)","Shear primary, All (scale dep)","QE secondary, All (scale dep)","PSH secondary, All (scale dep)","PH secondary, All (scale dep)","Shear secondary, All (scale dep)","QE trispectrum, All (scale dep)","PSH trispectrum, All (scale dep)","PH trispectrum, All (scale dep)","Shear trispectrum, All (scale dep)"
0,1.3094069739418872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.1196862728734125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.4313777036652517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.554762087150706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.992126343855551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14.556579546566493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,20.982337649086286,-1.340778628960805e-08,-4.2017632037003775e-09,-1.648242665828779e-09,-2.798966106499666e-10,-5.174557147033215e-10,-1.2797854347856596e-10,-2.0089903047950598e-11,1.700880715560477e-11,6.4967500522140556e-09,1.2988386856397318e-09,7.762531205192062e-10,1.0829295023580789e-09
7,38.42812776856926,-7.83470717458473e-09,-2.6133081652867545e-09,-1.3623170188110388e-09,-1.2829640580594105e-09,2.8792237172708404e-11,-1.3724084224275457e-10,-2.1163534652565717e-10,-3.1464553213075955e-10,5.008579845470286e-09,1.1347731808952974e-09,7.68405862789596e-10,1.3838193183004645e-09
8,63.198533245043265,-9.58081451467559e-09,-2.603655871801217e-09,-8.953337361918397e-10,-7.180940607699323e-10,-2.373730197013398e-10,-1.183744658865111e-10,-1.179932411302852e-10,-6.6655290523304025e-12,5.016549544599452e-09,1.096662903484161e-09,7.524589462196643e-10,1.3111273506807035e-09
9,100.96538972782729,-5.585744699755011e-09,-1.0756033130277045e-09,3.2465006671331376e-11,4.259054530699822e-10,-2.0254983115712565e-10,-1.22429997834569e-10,-1.2685701974018262e-10,-5.036722920438752e-10,4.429536720533967e-09,1.0294551304782774e-09,7.184840536486972e-10,1.3039875692751887e-09
10,163.83631121352687,-4.229973231083702e-09,-1.0811316181235016e-09,-2.818425417574189e-10,-2.1072990825789277e-11,-2.1556574221230053e-10,-2.8426205140025087e-10,-3.092982779122751e-10,-6.619249137908038e-10,4.6676803894865814e-09,1.0776038726995986e-09,7.760598208745652e-10,1.4104990558528663e-09
11,265.3251638901486,-2.7695433545645855e-09,-8.350188764650601e-10,-3.164382251968289e-10,-1.1401298393058762e-10,-2.4170064572514507e-10,-2.4701328174625483e-10,-2.5425155164501093e-10,-5.305062661273454e-10,4.671742095141847e-09,1.2581900848457238e-09,9.85742383711387e-10,1.5399010074326173e-09
12,431.2885931322549,-1.4763093850863799e-09,-4.230505196061905e-10,-1.3411011673496758e-10,6.581351605097262e-12,-2.5356410151315314e-10,-2.762458722941745e-10,-3.084692286858663e-10,-5.003031446716322e-10,4.035522606403485e-09,1.2142477678435776e-09,9.920056849458675e-10,1.08674507418948e-09
13,699.3914735090503,-8.810318857658186e-10,-3.0344869616211437e-10,-1.1658860920509796e-10,-1.7398694958701944e-11,-1.7199487752514183e-10,-2.0685007348753653e-10,-2.4178386076552494e-10,-3.418593822469543e-10,3.156179341736491e-09,1.1222303773271902e-09,9.233706894721361e-10,7.737751808592508e-10
14,1132.2266555405515,-4.1540558614726673e-10,-1.5497439463107178e-10,-4.324369596913766e-11,-5.233199219219036e-11,-1.4203633835863214e-10,-1.9600309414728094e-10,-2.3489783848072257e-10,-2.1625458469646187e-10,1.5498835588476609e-09,7.183074810173449e-10,6.291976147396867e-10,4.816370444517397e-10
15,1832.7733607376451,-1.1944878190725436e-10,-5.792974163019156e-11,-3.883692134924886e-12,-6.319570455721639e-11,-7.749304919806896e-11,-1.0127872186672223e-10,-1.3158905662370124e-10,-7.562499042866662e-11,4.5116406208485726e-10,3.361087004478943e-10,3.3295061742003695e-10,4.753031029320421e-10
16,2966.360523302821,7.144761543799294e-11,2.3913804876184385e-11,6.068581666872369e-12,-6.160282587621737e-11,-2.5183608878674735e-10,-1.6515536771638186e-10,-1.311950299482759e-10,1.235999388375755e-05,5.475437964155743e-10,3.075572583704495e-10,2.9003105029001387e-10,1.1907518738278421e-05
17,4801.532681142485,5.197385340460344e-10,1.438073201589136e-10,1.783200620738523e-11,4.936705291835906e-10,-1.0111967023048376e-08,-1.4658914226718365e-08,-1.5949707973971452e-08,-1.1160546640975948e-08,7.256723668506533e-08,6.694242693591482e-08,8.251677774396907e-08,7.603956770778985e-08
18,7773.367053494751,6.595521362793433e-10,-2.8321206765200263e-08,-3.451618702244994e-08,6.60034926214254e-10,-3.5191358382020075e-07,1.0298215205126389,1.6951683574631995,-3.537178096545819e-07,1.3742277565745995e-05,36.84674203002194,54.1813218180789,1.3745514579448797e-05
19,11220.26600506391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
